"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";".1uF";"C-EUC0603";"C0603";"C12";"CAPACITOR, European symbol";"";"";"";"";
"1";".33uF";"C-EUC0603";"C0603";"C13";"CAPACITOR, European symbol";"";"";"";"";
"12";"0";"RESISTOR";"0805";"R29, R52, R76, R100, R127, R130, R131, R135, R136, R137, R138, R139";"Resistor";"";"";"";"";
"5";"0.22uF";"CAP0805";"0805";"C16, C31, C44, C56, C65";"Capacitor";"";"";"";"";
"10";"0.27";"RESISTOR";"0805";"R26, R27, R50, R51, R73, R74, R98, R99, R125, R126";"Resistor";"";"";"";"";
"4";"100K";"RESISTOR";"0805";"R92, R106, R113, R116";"Resistor";"";"";"";"";
"54";"100nF";"CAP0805";"0805";"C2, C3, C4, C5, C6, C7, C8, C10, C11, C14, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C45, C46, C48, C49, C50, C51, C52, C53, C54, C57, C58, C59, C60, C61, C62, C63, C66, C67, C68, C69";"Capacitor";"";"";"";"";
"1";"100uF - 63V";"CPOL-EUE3.5-8";"E3,5-8";"C9";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"15";"10K";"RESISTOR";"0805";"R1, R5, R12, R28, R35, R53, R60, R77, R87, R95, R101, R107, R128, R129, R132";"Resistor";"";"";"";"";
"5";"10k";"RESISTOR";"0805";"R3, R9, R20, R24, R40";"Resistor";"";"";"";"";
"5";"12K";"RESISTOR";"0805";"R22, R46, R67, R94, R122";"Resistor";"";"";"";"";
"2";"16MHz";"CRYTALHC49S";"HC49/S";"Y1, Y2";"CRYSTAL";"";"";"";"";
"20";"1K";"RESISTOR";"0805";"R2, R4, R18, R21, R31, R43, R45, R57, R59, R66, R72, R75, R78, R80, R93, R103, R118, R119, R120, R121";"Resistor";"";"";"";"";
"3";"1M";"RESISTOR";"0805";"R105, R112, R115";"Resistor";"";"";"";"";
"1";"1uF";"CAP0805";"0805";"C47";"Capacitor";"";"";"";"";
"9";"2.21K";"RESISTOR";"0805";"R6, R10, R17, R32, R41, R44, R56, R68, R86";"Resistor";"";"";"";"";
"11";"2.2K";"RESISTOR";"0805";"R14, R15, R37, R38, R62, R63, R89, R90, R104, R109, R110";"Resistor";"";"";"";"";
"2";"22";"RESISTOR";"0805";"R79, R81";"Resistor";"";"";"";"";
"5";"22pF";"CAP0805";"0805";"C1, C70, C71, C72, C73";"Capacitor";"";"";"";"";
"1";"2560-ICSP";"PINHD-2X3";"2X03";"PIN1";"PIN HEADER";"";"";"";"";
"1";"26 Pin - Male";"ML26";"ML26";"SV2";"HARTING";"";"";"unknown";"unknown";
"5";"33K";"RESISTOR";"0805";"R13, R36, R61, R88, R108";"Resistor";"";"";"";"";
"31";"4.7K";"RESISTOR";"0805";"R7, R11, R16, R19, R23, R25, R30, R33, R39, R42, R47, R48, R49, R54, R55, R64, R65, R69, R70, R71, R83, R91, R96, R97, R111, R114, R117, R123, R124, R133, R134";"Resistor";"";"";"";"";
"5";"47uF - 35V";"CAP_TANTALUMD/7343_REFLOW";"EIA7343-31/D-R";"C15, C30, C43, C55, C64";"Tantalum Capacitors";"";"";"";"";
"5";"6.8k";"RESISTOR";"0805";"R8, R34, R58, R82, R102";"Resistor";"";"";"";"";
"1";"74HC3G14DC";"74HC3G14DC";"VSSOP8";"LC5";"";"";"";"";"";
"1";"8U2";"PINHD-2X3";"2X03";"PIN2";"PIN HEADER";"";"";"";"";
"5";"A4982ETSSOP32";"A4982ETSSOP32";"ETSSOP32";"A1, A2, A3, A4, A5";"";"";"";"";"";
"1";"ATMEGA2560-16AU";"ATMEGA2560-16AU";"TQFP100";"IC1";"MICROCONTROLLER";"";"";"";"";
"1";"ATMEGA8U2-MU";"ATMEGA8U2";"ATMEL_QFN32";"IC2";"";"";"";"";"";
"1";"BLM21";"WE-CBF_0805";"0805";"L1";"SMD EMI Suppression Ferrite Beads";"";"";"";"";
"3";"BLUE";"LED0805";"LED-0805";"5V, ACT, D-0";"LEDs";"";"";"";"";
"10";"DNP";"PINHD-1X1";"1X01";"PIN3, PIN4, PIN5, PIN6, PIN7, PIN8, PIN9, PIN10, PIN11, PIN12";"PIN HEADER";"";"";"";"";
"1";"F/QMB";"F/QMB";"F/QMB";"SPEAKER";"BUZZER Source: Buerklin";"";"";"unknown";"unknown";
"3";"FDV301N";"FDV301N";"SOT-23";"M8, M9, M10";"";"";"";"";"";
"4";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"FID1, FID2, FID3, FID4";"";"";"";"";"";
"1";"FUSEX20MM";"FUSEX20MM";"FUSE_5MM";"FUSE_HOLDER";"";"";"";"";"";
"11";"GREEN";"LED0805";"LED-0805";"24V, LED4, LED5, LED7, LED9, LED10, LED12, LED14, LED16, LED19, LED21";"LEDs";"";"";"";"";
"2";"MAX6675";"MAX6675";"SO08";"T1, T2";"Thermocouple amplifier and A to D converter";"";"";"";"";
"5";"MCP4018";"MCP4018";"SC70-6L";"LC1, LC2, LC3, LC4, LC7";"";"";"";"";"";
"8";"MSTBV2";"MSTBV2";"MSTBV2";"-24V+, FAN-1, FAN-2, HBP, L-COOL, L-HEAT, R-COOL, R-HEAT";"PHOENIX";"";"MSTBV 2,5/2-GF-5.08";"1792792";"69R9845";
"1";"ORANGE";"LED0805";"LED-0805";"D-2";"LEDs";"";"";"";"";
"1";"PCA9533";"PCA9533";"SO8";"LC6";"";"";"";"";"";
"2";"PGB1010604";"VARISTORCN0603";"CT/CN0603";"R84, R85";"VARISTOR";"";"";"";"";
"7";"PSMN7R0-30YL";"PSMN7R0-30YL";"SOT669";"M1, M2, M3, M4, M5, M6, M7";"";"";"";"";"";
"1";"PWRSWITCH";"PWRSWITCH";"D501JT2S2APQF";"15A_SWITCH";"";"";"";"";"";
"1";"Push-button";"10-XX";"B3F-10XX";"RESET";"OMRON SWITCH";"";"";"";"";
"1";"R-78E-5.0";"R-78";"R-78";"P1";"";"";"";"";"";
"4";"RED";"LED0805";"LED-0805";"D-3, F1, F3, F5";"LEDs";"";"";"";"";
"7";"SCREWTERMINAL-3.5MM-2";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"JP1, JP2, P-STOP, X-MAX, Y-MAX, Z-MAX, Z-MIN";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"1";"SCREWTERMINAL-3.5MM-3";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"HBP-T";"Header 3";"";"";"";"";
"1";"SCREWTERMINAL-3.5MM-4";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"RGB+";"Header 4";"";"";"";"";
"5";"SCREWTERMINAL-3.5MM-4";"M04SCREW_LOCK";"SCREWTERMINAL-3.5MM-4_LOCK";"JP3, JP4, JP5, JP6, JP7";"Header 4";"";"";"";"";
"1";"SMBJ24A";"SUPPRESSOR-SMBJ";"SMBJ";"D1";"Suppressor diode";"";"";"";"";
"1";"USB B-TH";"PN61729";"PN61729";"X8";"BERG USB connector";"";"";"";"";
"3";"YELLOW";"LED0805";"LED-0805";"D-1, RX, TX";"LEDs";"";"";"";"";
"4";"Yellow";"LED0805";"LED-0805";"F2, F4, F6, F7";"LEDs";"";"";"";"";
